Protein FDR Confidence;Accession;Gene symbol;Protein evidence;Protein name;Exp. q-value;Sum PEP Score;Coverage;# Peptides;# PSMs;# Unique Peptides;# Protein Groups;# AAs;MW [kDa];calc. pI;Score Sequest HT;# Peptides Sequest HT;Score Mascot;# Peptides Mascot;Norm Intensity;iBAQ;Log2 iBAQ
High;NX_P62805-1;"HIST1H4A;HIST1H4B;HIST1H4C;HIST1H4D;HIST1H4E;HIST1H4F;HIST1H4H;HIST1H4I;HIST1H4J;HIST1H4K;HIST1H4L;HIST2H4A;HIST2H4B;HIST4H4";1;Histone H4 isoform Iso 1;0;338;65.05;17;596;17;1;103;11.4;11.36;1630.94;17;10710;17;16100167487;2683361248;31.32
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q7L014-1;DDX46;1;Probable ATP-dependent RNA helicase DDX46 isoform Iso 1;0;338;46.46;42;146;42;1;1031;117.3;9.29;360.51;41;1681;41;335419449.5;6098535.445;22.54
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9NP74-1;PALMD;1;Palmdelphin isoform Iso 1;0;338;56.08;24;114;23;1;551;62.7;5.44;291.86;21;528;24;235421627.5;10235722.93;23.29
;;;;;;;;;;;;;;;;;;;;;
High;NX_P05106-1;ITGB3;1;Integrin beta-3 isoform Beta-3A;0;338;46.95;26;116;26;1;788;87;5.24;323.61;24;1324;25;241210477;6891727.914;22.72
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q8WWM7-1;ATXN2L;1;Ataxin-2-like protein isoform Iso 1;0;337;39.26;31;106;31;1;1075;113.3;8.59;255.18;29;780;30;185259265;5146090.695;22.3
;;;;;;;;;;;;;;;;;;;;;
High;NX_P16989-1;YBX3;1;Y-box-binding protein 3 isoform Iso 1;0;337;64.78;20;208;6;1;372;40.1;9.77;564.86;14;3387;20;666836174.5;44455744.97;25.41
;;;;;;;;;;;;;;;;;;;;;
High;NX_P43034-1;PAFAH1B1;1;Platelet-activating factor acetylhydrolase IB subunit alpha isoform Iso 1;0;337;65.85;23;148;22;1;410;46.6;7.37;435.9;23;1900;23;357067228.8;14877801.2;23.83
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q8TAT6-2;NPLOC4;1;Nuclear protein localization protein 4 homolog isoform Iso 2;0;336;53.65;25;117;25;1;617;69.4;6.68;364.18;22;1517;25;274871778.9;9162392.631;23.13
;;;;;;;;;;;;;;;;;;;;;
High;NX_P49915-1;GMPS;1;GMP synthase [glutamine-hydrolyzing] isoform Iso 1;0;336;50.36;26;102;26;1;693;76.7;6.87;301.63;25;683;25;206045520.4;5723486.678;22.45
;;;;;;;;;;;;;;;;;;;;;
High;NX_P23229-1;ITGA6;1;Integrin alpha-6 isoform Alpha-6X1X2B;0;336;39.03;35;138;34;1;1130;126.5;6.61;355.54;34;1739;34;299727769.1;5080131.68;22.28
;;;;;;;;;;;;;;;;;;;;;
High;NX_O94875-11;SORBS2;1;Sorbin and SH3 domain-containing protein 2 isoform Iso 11;0;336;25.42;27;132;27;1;1200;134.5;8.53;360.72;26;1264;27;307829413.7;5307403.684;22.34
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q8WX93-1;PALLD;1;Palladin isoform Iso 1;0;335;28.34;26;124;26;1;1383;150.5;7.09;303.51;23;1485;25;382509796.6;6071584.073;22.53
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9UHB9-1;SRP68;1;Signal recognition particle subunit SRP68 isoform Iso 1;0;334;50.56;31;111;31;1;627;70.7;8.56;319.74;30;2031;30;268914468;7469846.333;22.83
;;;;;;;;;;;;;;;;;;;;;
High;NX_P19174-1;PLCG1;1;1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 isoform Iso 1;0;334;35.35;34;119;34;1;1290;148.4;6.05;308.64;33;1320;32;208047538.5;3467458.975;21.73
;;;;;;;;;;;;;;;;;;;;;
High;NX_O43237-1;DYNC1LI2;1;Cytoplasmic dynein 1 light intermediate chain 2 isoform Iso 1;0;334;60.98;23;98;22;1;492;54.1;6.38;294.89;21;1096;23;334363867.6;13931827.82;23.73
;;;;;;;;;;;;;;;;;;;;;
High;NX_O00629-1;KPNA4;1;Importin subunit alpha-3 isoform Iso 1;0;334;58.35;20;149;14;1;521;57.9;4.96;426.56;15;1066;20;462891964.7;30859464.31;24.88
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q8N1F7-1;NUP93;1;Nuclear pore complex protein Nup93 isoform Iso 1;0;334;49.69;38;162;38;1;819;93.4;5.72;355.9;36;2031;38;421250208.6;7948117.144;22.92
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q8NBJ5-1;COLGALT1;1;Procollagen galactosyltransferase 1 isoform Iso 1;0;333;43.25;29;172;29;1;622;71.6;7.31;397.33;28;2157;29;589556556.2;17865350.19;24.09
;;;;;;;;;;;;;;;;;;;;;
High;NX_O14617-5;AP3D1;1;AP-3 complex subunit delta-1 isoform Iso 5;0;333;40.66;33;99;33;1;1215;136.6;7.64;247.59;31;695;31;269919140;5092813.963;22.28
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9BY44-1;EIF2A;1;Eukaryotic translation initiation factor 2A isoform Iso 1;0;333;60.51;25;123;25;1;585;64.9;8.87;349.48;24;1258;25;226473933.2;6862846.461;22.71
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q05209-1;PTPN12;1;Tyrosine-protein phosphatase non-receptor type 12 isoform Iso 1;0;333;51.03;27;131;27;1;780;88.1;5.62;339.2;23;1008;26;259186861.8;6171115.758;22.56
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q96A33-1;CCDC47;1;Coiled-coil domain-containing protein 47 isoform Iso 1;0;333;45.96;21;110;21;1;483;55.8;4.87;335.74;21;1312;21;332335561.2;16616778.06;23.99
;;;;;;;;;;;;;;;;;;;;;
High;NX_P68400-1;CSNK2A1;1;Casein kinase II subunit alpha isoform Iso 1;0;333;52.43;18;114;17;1;391;45.1;7.74;368.98;18;1116;18;360952873.1;20052937.4;24.26
;;;;;;;;;;;;;;;;;;;;;
High;NX_P35658-3;NUP214;1;Nuclear pore complex protein Nup214 isoform Iso 3;0;333;28.65;33;93;33;1;2091;213.6;7.47;215.87;29;995;31;118095222;1968253.701;20.91
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q96D15-1;RCN3;1;Reticulocalbin-3 isoform Iso 1;0;333;65.24;16;265;16;1;328;37.5;4.89;816.64;15;3597;16;712281691.3;50877263.67;25.6
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q15366-3;PCBP2;1;Poly(rC)-binding protein 2 isoform Iso 3;0;332;82.04;18;279;0;1;362;38.2;6.79;697.03;15;3069;18;785150614.8;49071913.42;25.55
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q32MZ4-3;LRRFIP1;1;Leucine-rich repeat flightless-interacting protein 1 isoform Iso 3;0;332;40.03;24;91;15;1;752;82.6;4.61;252.87;22;922;24;184317064.5;5585365.591;22.41
;;;;;;;;;;;;;;;;;;;;;
High;NX_A1L0T0-1;ILVBL;1;Acetolactate synthase-like protein isoform Iso 1;0;332;34.49;15;90;15;1;632;67.8;8.15;338.2;15;1491;15;171092630.9;6580485.804;22.65
;;;;;;;;;;;;;;;;;;;;;
High;NX_P23921-1;RRM1;1;Ribonucleoside-diphosphate reductase large subunit isoform Iso 1;0;331;55.56;30;113;30;1;792;90;7.15;287.55;29;957;28;256753460.3;5971010.705;22.51
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q14694-1;USP10;1;Ubiquitin carboxyl-terminal hydrolase 10 isoform Iso 1;0;331;43.48;22;91;22;1;798;87.1;5.31;253.46;21;900;22;161345865.7;4745466.64;22.18
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9H2D6-5;TRIOBP;1;TRIO and F-actin-binding protein isoform Iso 1;0;331;64.76;38;131;37;1;593;68;6.1;343.37;38;1152;35;247991687.8;6702478.048;22.68
;;;;;;;;;;;;;;;;;;;;;
High;NX_P39060-3;COL18A1;1;Collagen alpha-1(XVIII) chain isoform Iso 1;0;331;17.73;22;194;22;1;1754;178.1;6.01;504.17;18;2334;22;783683706.9;15070840.52;23.85
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9UHX1-6;PUF60;1;Poly(U)-binding-splicing factor PUF60 isoform Iso 6;0;331;61.79;22;144;1;1;513;55.4;5.34;395.34;19;2055;22;373109203.2;15546216.8;23.89
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q13177-1;PAK2;1;Serine/threonine-protein kinase PAK 2 isoform Iso 1;0;330;62.79;25;109;25;1;524;58;5.96;263.97;23;903;25;390225494.6;16966325.85;24.02
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q01970-1;PLCB3;1;1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3 isoform Iso 1;0;329;41;38;107;38;1;1234;138.7;5.9;245.2;34;1038;38;205461908.4;3735671.062;21.83
;;;;;;;;;;;;;;;;;;;;;
High;NX_O95817-1;BAG3;1;BAG family molecular chaperone regulator 3 isoform Iso 1;0;329;61.74;23;120;23;1;575;61.6;6.95;296.24;20;979;23;234038634;8358522.643;22.99
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q15366-6;PCBP2;1;Poly(rC)-binding protein 2 isoform Iso 6;0;329;81.99;18;268;0;1;361;38.1;6.79;653.28;15;3035;18;765586500.3;47849156.27;25.51
;;;;;;;;;;;;;;;;;;;;;
High;NX_P12236-1;SLC25A6;1;ADP/ATP translocase 3 isoform Iso 1;0;328;70.13;27;454;6;1;298;32.8;9.74;1238.84;25;5387;27;1741572859;87078642.93;26.38
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q02880-1;TOP2B;1;DNA topoisomerase 2-beta isoform Beta-2;0;328;31.86;42;129;34;1;1626;183.2;8;327.24;42;1002;40;258296785.6;2968928.57;21.5
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q16222-2;UAP1;1;UDP-N-acetylhexosamine pyrophosphorylase isoform AGX1;0;327;56.24;27;152;26;1;505;57;6.38;436.14;25;1924;25;438334887.7;14611162.92;23.8
;;;;;;;;;;;;;;;;;;;;;
High;NX_P50453-1;SERPINB9;1;Serpin B9 isoform Iso 1;0;326;76.6;25;137;23;1;376;42.4;5.86;394.77;25;2184;24;628504814.7;28568400.67;24.77
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q96AG4-1;LRRC59;1;Leucine-rich repeat-containing protein 59 isoform Iso 1;0;326;52.12;19;189;19;1;307;34.9;9.57;574.27;19;2489;19;1154301214;82450086.74;26.3
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9BYT8-1;NLN;1;Neurolysin, mitochondrial isoform Iso 1;0;326;44.03;29;107;29;1;704;80.6;6.64;287.47;29;1435;28;284800097.3;8376473.451;23
;;;;;;;;;;;;;;;;;;;;;
High;NX_P27348-1;YWHAQ;1;14-3-3 protein theta isoform Iso 1;0;326;73.06;22;318;17;1;245;27.7;4.78;847.8;22;4254;22;3048076558;217719754.1;27.7
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9H3S7-1;PTPN23;1;Tyrosine-protein phosphatase non-receptor type 23 isoform Iso 1;0;325;31.42;39;91;39;1;1636;178.9;6.92;233.68;37;903;35;168569332.8;2515960.19;21.26
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9Y6G9-1;DYNC1LI1;1;Cytoplasmic dynein 1 light intermediate chain 1 isoform Iso 1;0;324;59.66;28;131;27;1;523;56.5;6.42;351.26;24;1085;28;324070257.5;11573937.77;23.46
;;;;;;;;;;;;;;;;;;;;;
High;NX_P50579-1;METAP2;1;Methionine aminopeptidase 2 isoform Iso 1;0;324;62.76;22;116;3;1;478;52.9;5.82;329.23;19;1221;21;197329129.3;8579527.362;23.03
;;;;;;;;;;;;;;;;;;;;;
High;NX_P29279-1;CTGF;1;Connective tissue growth factor isoform Iso 1;0;323;63.04;21;162;21;1;349;38.1;8;486.57;21;1694;21;629845413;26243558.87;24.65
;;;;;;;;;;;;;;;;;;;;;
High;NX_P62826-1;RAN;1;GTP-binding nuclear protein Ran isoform Iso 1;0;323;53.7;15;230;15;1;216;24.4;7.49;687.18;14;2704;15;2358233813;235823381.3;27.81
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q8IY17-4;PNPLA6;1;Neuropathy target esterase isoform Iso 4;0;321;31.71;30;83;30;1;1375;150.9;7.74;232.07;28;1333;28;141852386.5;2325448.958;21.15
;;;;;;;;;;;;;;;;;;;;;
High;NX_P12081-1;HARS;1;Histidine--tRNA ligase, cytoplasmic isoform Iso 1;0;320;65.62;29;137;23;1;509;57.4;5.88;363.5;28;1913;28;545065813.5;19466636.2;24.21
;;;;;;;;;;;;;;;;;;;;;
High;NX_P08727-1;KRT19;1;Keratin, type I cytoskeletal 19 isoform Iso 1;0;320;66.5;29;192;23;1;400;44.1;5.14;505.08;29;2541;29;792280294.5;25557428.86;24.61
;;;;;;;;;;;;;;;;;;;;;
High;NX_P23284-1;PPIB;1;Peptidyl-prolyl cis-trans isomerase B isoform Iso 1;0;320;63.89;23;317;22;1;216;23.7;9.41;768.33;22;4736;23;2313470367;177959259;27.41
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q14766-4;LTBP1;1;Latent-transforming growth factor beta-binding protein 1 isoform Iso 4;0;319;25.96;28;58;28;1;1722;186.7;5.96;156.52;24;468;28;62682417.87;908440.8387;19.79
;;;;;;;;;;;;;;;;;;;;;
High;NX_O75146-1;HIP1R;1;Huntingtin-interacting protein 1-related protein isoform Iso 1;0;319;39.04;34;89;34;1;1068;119.3;6.67;230.6;33;705;33;184352020.9;2926222.553;21.48
;;;;;;;;;;;;;;;;;;;;;
High;NX_P62942-1;FKBP1A;1;Peptidyl-prolyl cis-trans isomerase FKBP1A isoform Iso 1;0;319;77.78;9;277;9;1;108;11.9;8.16;708.55;6;4401;9;1846317121;615439040.2;29.2
;;;;;;;;;;;;;;;;;;;;;
High;NX_P05388-1;RPLP0;1;60S acidic ribosomal protein P0 isoform Iso 1;0;318;67.19;21;299;21;1;317;34.3;5.97;663.42;19;4410;21;1443764416;111058801.2;26.73
;;;;;;;;;;;;;;;;;;;;;
High;NX_P14735-1;IDE;1;Insulin-degrading enzyme isoform Iso 1;0;318;41.22;32;109;32;1;1019;117.9;6.61;263.61;31;736;31;246587960.5;5360607.836;22.35
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9UNM6-1;PSMD13;1;26S proteasome non-ATPase regulatory subunit 13 isoform Iso 1;0;317;75.8;29;187;29;1;376;42.9;5.81;518.35;29;2769;28;666168076.7;25621849.1;24.61
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9Y6M1-2;IGF2BP2;1;Insulin-like growth factor 2 mRNA-binding protein 2 isoform Iso 1;0;317;45.08;24;145;21;1;599;66.1;8.46;438.23;24;2839;24;442647900.4;16394366.68;23.97
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q3ZCM7-1;TUBB8;1;Tubulin beta-8 chain isoform Iso 1;0;316;29.73;13;631;1;1;444;49.7;4.89;1395.43;11;7375;13;13685782930;720304364.7;29.42
;;;;;;;;;;;;;;;;;;;;;
High;NX_O14579-1;COPE;1;Coatomer subunit epsilon isoform Iso 1;0;316;66.88;16;138;16;1;308;34.5;5.12;390.77;15;1648;16;308684437.1;23744956.7;24.5
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q32P28-1;P3H1;1;Prolyl 3-hydroxylase 1 isoform Iso 1;0;316;47.42;26;131;26;1;736;83.3;5.14;351.95;24;1289;26;323661321.2;10788710.71;23.36
;;;;;;;;;;;;;;;;;;;;;
High;NX_P17812-1;CTPS1;1;CTP synthase 1 isoform Iso 1;0;316;49.58;26;144;25;1;591;66.6;6.46;352.62;25;1452;26;444940618.4;15890736.37;23.92
;;;;;;;;;;;;;;;;;;;;;
High;NX_P35556-1;FBN2;1;Fibrillin-2 isoform Iso 1;0;316;19.13;36;91;33;1;2912;314.6;4.86;220.75;36;736;33;124099958.3;969530.924;19.89
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9UHX1-5;PUF60;1;Poly(U)-binding-splicing factor PUF60 isoform Iso 5;0;315;63.02;22;139;1;1;530;57.1;5.27;372.92;18;1858;22;363990373.8;15825668.42;23.92
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9Y4E8-1;USP15;1;Ubiquitin carboxyl-terminal hydrolase 15 isoform Iso 1;0;315;49.64;37;87;35;1;981;112.3;5.22;214.91;36;768;37;117254919;2254902.289;21.1
;;;;;;;;;;;;;;;;;;;;;
High;NX_P29590-8;PML;1;Protein PML isoform PML-2;0;315;44.87;28;124;1;1;829;90.7;6.93;301.79;24;1495;28;368722847.8;10534938.51;23.33
;;;;;;;;;;;;;;;;;;;;;
High;NX_P18124-1;RPL7;1;60S ribosomal protein L7 isoform Iso 1;0;314;57.66;22;319;22;1;248;29.2;10.65;846.49;22;3631;22;2290855787;190904648.9;27.51
;;;;;;;;;;;;;;;;;;;;;
High;NX_P31153-1;MAT2A;1;S-adenosylmethionine synthase isoform type-2 isoform Iso 1;0;314;61.27;22;158;22;1;395;43.6;6.48;432.9;21;2454;22;787379756.9;41441039.84;25.3
;;;;;;;;;;;;;;;;;;;;;
High;NX_P78559-1;MAP1A;1;Microtubule-associated protein 1A isoform Iso 1;0;314;21.26;37;95;35;1;2803;305.3;4.92;242.07;34;879;35;169048091.8;1657334.234;20.66
;;;;;;;;;;;;;;;;;;;;;
High;NX_P46459-1;NSF;1;Vesicle-fusing ATPase isoform Iso 1;0;314;45.3;34;149;34;1;744;82.5;6.95;367.36;34;1531;33;385616793.1;8967832.398;23.1
;;;;;;;;;;;;;;;;;;;;;
High;NX_P21796-1;VDAC1;1;Voltage-dependent anion-selective channel protein 1 isoform Iso 1;0;314;75.97;20;546;18;1;283;30.8;8.54;1590.03;18;8129;20;2044921283;120289487.2;26.84
;;;;;;;;;;;;;;;;;;;;;
High;NX_P17174-1;GOT1;1;Aspartate aminotransferase, cytoplasmic isoform Iso 1;0;313;67.31;22;122;22;1;413;46.2;7.01;343.43;21;1329;22;303790820.4;13808673.66;23.72
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q96T76-1;MMS19;1;MMS19 nucleotide excision repair protein homolog isoform Iso 1;0;313;44.95;29;96;29;1;1030;113.2;6.35;267.24;28;774;27;174596960.2;3423469.808;21.71
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q13617-2;CUL2;1;Cullin-2 isoform Iso 2;0;313;46.47;31;106;30;1;764;89.4;7.11;278.59;30;1274;31;260854594.3;6066385.914;22.53
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q14103-1;HNRNPD;1;Heterogeneous nuclear ribonucleoprotein D0 isoform Iso 1;0;313;38.87;20;237;18;1;355;38.4;7.81;740.23;20;2793;20;1408448740;108342210.8;26.69
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9UKV3-1;ACIN1;1;Apoptotic chromatin condensation inducer in the nucleus isoform Iso 1;0;313;31.99;30;89;30;1;1341;151.8;6.43;229.85;29;682;27;146211508.5;2358250.137;21.17
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q15424-3;SAFB;1;Scaffold attachment factor B1 isoform Iso 3;0;312;29.33;24;101;13;1;917;102.8;5.49;220.24;18;904;24;219532371.8;5933307.346;22.5
;;;;;;;;;;;;;;;;;;;;;
High;NX_P13674-2;P4HA1;1;Prolyl 4-hydroxylase subunit alpha-1 isoform Iso 2;0;312;50.37;24;103;1;1;534;60.9;6.01;272.12;24;1133;24;223181420.5;7970765.019;22.93
;;;;;;;;;;;;;;;;;;;;;
High;NX_P49419-2;ALDH7A1;1;Alpha-aminoadipic semialdehyde dehydrogenase isoform Iso 2;0;312;63.6;26;114;26;1;511;55.3;6.86;292.08;24;1465;25;363471135.7;15803092.86;23.91
;;;;;;;;;;;;;;;;;;;;;
High;NX_P08195-4;SLC3A2;1;4F2 cell-surface antigen heavy chain isoform Iso 4;0;310;36.16;20;100;20;1;661;71.1;4.97;259.25;19;1187;20;268281961.2;9581498.615;23.19
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9UKY7-1;CDV3;1;Protein CDV3 homolog isoform Iso 1;0;310;74.81;14;127;14;1;258;27.3;6.4;346.61;12;1816;14;411953678.6;41195367.86;25.3
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9GZV4-1;EIF5A2;1;Eukaryotic translation initiation factor 5A-2 isoform Iso 1;0;310;47.06;10;163;1;1;153;16.8;5.58;507.67;9;1937;10;910075406.8;113759425.8;26.76
;;;;;;;;;;;;;;;;;;;;;
High;NX_P49257-1;LMAN1;1;Protein ERGIC-53 isoform Iso 1;0;310;38.63;18;133;17;1;510;57.5;6.77;349.75;16;1416;17;513849246.9;24469011.75;24.54
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q12931-1;TRAP1;1;Heat shock protein 75 kDa, mitochondrial isoform Iso 1;0;310;47.16;28;122;27;1;704;80.1;8.21;475.73;26;3435;27;1191040824;30539508.3;24.86
;;;;;;;;;;;;;;;;;;;;;
High;NX_P04264-1;KRT1;1;Keratin, type II cytoskeletal 1 isoform Iso 1;0;309;49.53;25;117;22;1;644;66;8.12;259.75;23;2184;25;272855640;8801794.838;23.07
;;;;;;;;;;;;;;;;;;;;;
High;NX_P26196-1;DDX6;1;Probable ATP-dependent RNA helicase DDX6 isoform Iso 1;0;309;60.25;24;114;23;1;483;54.4;8.66;326.56;23;1526;23;365942103.3;14637684.13;23.8
;;;;;;;;;;;;;;;;;;;;;
High;NX_O60684-1;KPNA6;1;Importin subunit alpha-7 isoform Iso 1;0;309;47.76;25;96;15;1;536;60;4.98;273.53;22;1464;25;248979194;11317236.09;23.43
;;;;;;;;;;;;;;;;;;;;;
High;NX_P13674-1;P4HA1;1;Prolyl 4-hydroxylase subunit alpha-1 isoform Iso 1;0;308;50.56;25;102;2;1;534;61;6.01;272.17;25;1109;25;224980136.4;8332597.643;22.99
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q13620-3;CUL4B;1;Cullin-4B isoform Iso 3;0;308;44.21;35;106;1;1;717;84;6.79;240.84;34;844;34;255974877.3;5332809.944;22.35
;;;;;;;;;;;;;;;;;;;;;
High;NX_O14950-1;MYL12B;1;Myosin regulatory light chain 12B isoform Iso 1;0;307;65.7;13;1192;5;1;172;19.8;4.84;4478.15;13;20860;13;3856689027;428521003;28.67
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q13740-1;ALCAM;1;CD166 antigen isoform Iso 1;0;307;51.46;24;137;24;1;583;65.1;6.25;375.11;24;1134;23;380451285.4;14090788.35;23.75
;;;;;;;;;;;;;;;;;;;;;
High;NX_P22087-1;FBL;1;rRNA 2'-O-methyltransferase fibrillarin isoform Iso 1;0;307;58.57;20;126;20;1;321;33.8;10.18;356.78;19;1609;20;375820007;19780000.37;24.24
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9NSD9-1;FARSB;1;Phenylalanine--tRNA ligase beta subunit isoform Iso 1;0;307;56.88;30;168;29;1;589;66.1;6.84;479.63;28;2131;30;492760428;15398763.38;23.88
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9NSE4-1;IARS2;1;Isoleucine--tRNA ligase, mitochondrial isoform Iso 1;0;307;34.49;30;109;30;1;1012;113.7;7.2;288.18;30;1044;30;267329896.3;6075679.462;22.53
;;;;;;;;;;;;;;;;;;;;;
High;NX_P48735-1;IDH2;1;Isocitrate dehydrogenase [NADP], mitochondrial isoform Iso 1;0;307;61.06;26;187;24;1;452;50.9;8.69;486.95;24;2528;26;764345141.4;33232397.45;24.99
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q12768-1;WASHC5;1;WASH complex subunit 5 isoform Iso 1;0;306;32.01;33;91;33;1;1159;134.2;6.98;242.9;33;1085;32;166554024.3;2379343.204;21.18
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9H0A0-1;NAT10;1;RNA cytidine acetyltransferase isoform Iso 1;0;306;38.63;31;106;30;1;1025;115.7;8.27;274.35;30;809;30;159405391.3;2951951.691;21.49
;;;;;;;;;;;;;;;;;;;;;
High;NX_P52565-1;ARHGDIA;1;Rho GDP-dissociation inhibitor 1 isoform Iso 1;0;306;79.41;15;303;15;1;204;23.2;5.11;677.25;11;2455;15;1350263048;225043841.3;27.75
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9UQE7-1;SMC3;1;Structural maintenance of chromosomes protein 3 isoform Iso 1;0;306;35.91;36;81;36;1;1217;141.5;7.18;175.79;36;796;35;123585428.6;1931022.323;20.88
;;;;;;;;;;;;;;;;;;;;;
High;NX_P27361-1;MAPK3;1;Mitogen-activated protein kinase 3 isoform Iso 1;0;305;64.38;20;134;13;1;379;43.1;6.74;403.49;18;1704;20;521320584.9;23696390.22;24.5
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q7L2H7-1;EIF3M;1;Eukaryotic translation initiation factor 3 subunit M isoform Iso 1;0;305;48.66;17;128;17;1;374;42.5;5.63;374.12;16;1845;16;389273319.3;20488069.43;24.29
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q13501-1;SQSTM1;1;Sequestosome-1 isoform Iso 1;0;305;62.95;16;82;16;1;440;47.7;5.22;221.73;12;1093;16;192310780.3;12820718.68;23.61
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9BZF9-1;UACA;1;Uveal autoantigen with coiled-coil domains and ankyrin repeats isoform Iso 1;0;305;31.5;34;69;34;1;1416;162.4;7.03;172.15;34;499;30;121149247.8;1495669.726;20.51
;;;;;;;;;;;;;;;;;;;;;
High;NX_P61160-1;ACTR2;1;Actin-related protein 2 isoform Iso 1;0;305;47.72;18;218;17;1;394;44.7;6.74;576.58;17;2986;18;970224240.3;74632633.87;26.15
;;;;;;;;;;;;;;;;;;;;;
High;NX_P22695-1;UQCRC2;1;Cytochrome b-c1 complex subunit 2, mitochondrial isoform Iso 1;0;305;55.85;21;140;21;1;453;48.4;8.63;397.08;17;1898;21;464585262.8;24451855.94;24.54
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q99497-1;PARK7;1;Protein DJ-1 isoform Iso 1;0;304;88.36;18;177;18;1;189;19.9;6.79;577.82;17;2745;18;1063973758;88664479.85;26.4
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9UMX0-1;UBQLN1;1;Ubiquilin-1 isoform Iso 1;0;303;50.25;18;117;2;1;589;62.5;5.11;312.06;15;1681;18;338631016.1;26048539.7;24.63
;;;;;;;;;;;;;;;;;;;;;
High;NX_P62333-1;PSMC6;1;26S proteasome regulatory subunit 10B isoform Iso 1;0;303;66.07;22;184;22;1;389;44.1;7.49;547.61;22;2269;22;626925625.3;31346281.26;24.9
;;;;;;;;;;;;;;;;;;;;;
High;NX_P52292-1;KPNA2;1;Importin subunit alpha-1 isoform Iso 1;0;303;58.03;21;157;21;1;529;57.8;5.4;488.08;19;2536;21;395241992.5;19762099.63;24.24
;;;;;;;;;;;;;;;;;;;;;
High;NX_P17612-1;PRKACA;1;cAMP-dependent protein kinase catalytic subunit alpha isoform Iso 1;0;303;51.85;21;111;8;1;351;40.6;8.79;321.97;21;1446;20;335931672.8;18662870.71;24.15
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q7L2E3-2;DHX30;1;Putative ATP-dependent RNA helicase DHX30 isoform Iso 2;0;302;43.21;36;87;1;1;1222;136;8.6;189.47;34;553;34;158875106;2176371.315;21.05
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q13423-1;NNT;1;NAD(P) transhydrogenase, mitochondrial isoform Iso 1;0;302;35.08;34;112;34;1;1086;113.8;8.09;295.3;33;980;34;250641816.5;5828879.452;22.47
;;;;;;;;;;;;;;;;;;;;;
